"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"1012","Ivan Barbashev","STL","C","25","1995-12-14","Moscow","","RUS","RUS","72","187","2014","STL","2","3","33"
"1095","Ivan Provorov","PHI","D","24","1997-01-13","Yaroslavl","","RUS","RUS","73","201","2015","PHI","1","7","7"
"765","J.T. Brown","ANA, T.B","R","30","1990-07-02","Burnsville","MN","USA","USA","70","182","-","-","-","-","-"
"910","J.T. Compher","COL","L","25","1995-04-08","Northbrook","IL","USA","USA","72","190","2013","BUF","2","5","35"
"734","J.T. Miller","NYR, T.B","C, L","28","1993-03-14","East Palestine","OH","USA","USA","73","218","2011","NYR","1","15","15"
"829","Jaccob Slavin","CAR","D","26","1994-05-01","Denver","CO","USA","USA","75","207","2012","CAR","4","29","120"
"1059","Jack Eichel","BUF","C","24","1996-10-28","North Chelmsford","MA","USA","USA","74","213","2015","BUF","1","2","2"
"216","Jack Johnson","CBJ","D","34","1987-01-13","Indianapolis","IN","USA","USA","73","227","2005","CAR","1","3","3"
"1046","Jack Rodewald","OTT","R","27","1994-02-14","Calgary","AB","CAN","CAN","74","189","-","-","-","-","-"
"1080","Jack Roslovic","WPG","C","24","1997-01-29","Columbus","OH","USA","USA","73","187","2015","WPG","1","25","25"
"218","Jack Skille","COL, VAN","R","33","1987-05-19","Madison","WI","USA","USA","73","216","2005","CHI","1","7","7"
"909","Jacob De La Rose","MTL","L","25","1995-05-20","Arvika","","SWE","SWE","75","215","2013","MTL","2","4","34"
"477","Jacob Josefson","BUF, N.J","C","30","1991-03-02","Stockholm","","SWE","SWE","72","196","2009","N.J","1","20","20"
"1091","Jacob Larsson","ANA","D","23","1997-04-29","Ljungby","","SWE","SWE","74","190","2015","ANA","1","27","27"
"796","Jacob Trouba","WPG","D","27","1994-02-26","Rochester","MI","USA","USA","75","209","2012","WPG","1","9","9"
"577","Jaden Schwartz","STL","C, L","28","1992-06-25","Wilcox","SK","CAN","CAN","70","190","2010","STL","1","14","14"
"1094","Jake DeBrusk","BOS","L","24","1996-10-17","Edmonton","AB","CAN","CAN","72","194","2015","BOS","1","14","14"
"844","Jake Dotchin","T.B","D","27","1994-03-24","Cambridge","ON","CAN","CAN","75","210","2012","T.B","6","10","161"
"392","Jake Gardiner","TOR","D","30","1990-07-04","Minnetonka","MN","USA","USA","74","203","2008","ANA","1","17","17"
"885","Jake Guentzel","PIT","C","26","1994-10-06","Omaha","NE","USA","USA","71","180","2013","PIT","3","16","77"
"821","Jake McCabe","BUF","D","27","1993-10-12","Eau Claire","WI","USA","USA","73","204","2012","BUF","2","14","44"
"364","Jake Muzzin","L.A","D","32","1989-02-21","Woodstock","ON","CAN","CAN","75","217","2007","PIT","5","20","141"
"987","Jake Virtanen","VAN","R","24","1996-08-17","New Westminster","BC","CAN","CAN","73","226","2014","VAN","1","6","6"
"1142","Jakob Chychrun","ARI","D","22","1998-03-31","Boca Raton","FL","USA","USA","74","210","2016","ARI","1","16","16"
"1064","Jakob Forsbacka Karlsson","BOS","C","24","1996-10-31","Stockholm","","SWE","SWE","73","184","2015","BOS","2","15","45"
"458","Jakob Silfverberg","ANA","R","30","1990-10-13","Gävle","","SWE","SWE","74","208","2009","OTT","2","9","39"
"1184","Jakub Jerabek","MTL, WSH","D","29","1991-05-12","Pilsen","","CZE","CZE","71","199","-","-","-","-","-"
"223","Jakub Kindl","DET, FLA","D","34","1987-02-10","Sumperk","","CZE","CZE","75","199","2005","DET","1","19","19"
"1104","Jakub Nakladal","CAR, CGY","D","33","1987-12-30","Hradec Králové","","CZE","CZE","74","212","-","-","-","-","-"
"363","Jakub Voracek","PHI","R","31","1989-08-15","Kladno","","CZE","CZE","74","214","2007","CBJ","1","7","7"
"994","Jakub Vrana","WSH","L","25","1996-02-28","Prague","","CZE","CZE","72","197","2014","WSH","1","13","13"
"228","James Neal","NSH, VGK","L, R","33","1987-09-03","Whitby","ON","CAN","CAN","74","212","2005","DAL","2","3","33"
"332","James van Riemsdyk","TOR","L","31","1989-05-04","Middletown","NJ","USA","USA","75","217","2007","PHI","1","2","2"
"108","James Wisniewski","CAR","D","37","1984-02-21","Canton","MI","USA","USA","71","203","2002","CHI","5","25","156"
"319","Jamie Benn","DAL","L","31","1989-07-18","Victoria","BC","CAN","CAN","74","210","2007","DAL","5","8","129"
"297","Jamie McBain","ARI, L.A","D","33","1988-02-25","Edina","MN","USA","USA","73","195","2006","CAR","2","33","63"
"274","Jamie McGinn","ANA, ARI, BUF, FLA","L","32","1988-08-05","Fergus","ON","CAN","CAN","73","205","2006","S.J","2","6","36"
"733","Jamie Oleksiak","DAL, PIT","D","28","1992-12-21","Toronto","ON","CAN","CAN","79","255","2011","DAL","1","14","14"
"1193","Jan Rutta","CHI","D","30","1990-07-29","Písek","","CZE","CZE","75","204","-","-","-","-","-"
"1158","Janne Kuokkanen","CAR","C","22","1998-05-25","Oulunsalo","","FIN","FIN","73","193","2016","CAR","2","13","43"
"208","Jannik Hansen","S.J, VAN","R","35","1986-03-15","Rødovre","","DNK","DNK","73","198","2004","VAN","9","29","287"
"243","Jared Boll","ANA, CBJ","R","34","1986-05-13","Charlotte","NC","USA","USA","75","206","2005","CBJ","4","10","101"
"467","Jared Cowen","OTT","D","30","1991-01-25","Saskatoon","SK","CAN","CAN","77","238","2009","OTT","1","9","9"
"1004","Jared McCann","FLA, VAN","C","24","1996-05-31","Stratford","ON","CAN","CAN","73","185","2014","VAN","1","24","24"
"428","Jared Spurgeon","MIN","D","31","1989-11-29","Edmonton","AB","CAN","CAN","69","167","2008","NYI","6","5","156"
"5","Jarome Iginla","COL, L.A","R","43","1977-07-01","Edmonton","AB","CAN","CAN","73","210","1995","DAL","1","11","11"
"1","Jaromir Jagr","CGY, FLA","R","49","1972-02-15","Kladno","","CZE","CZE","75","230","1990","PIT","1","5","5"
"595","Jarred Tinordi","ARI, MTL","D","29","1992-02-20","Burnsville","MN","USA","USA","78","205","2010","MTL","1","22","22"
"54","Jarret Stoll","MIN, NYR","C","38","1982-06-24","Melville","SK","CAN","CAN","73","216","2002","EDM","2","6","36"
"15","Jason Chimera","ANA, NYI, WSH","L","41","1979-05-02","Edmonton","AB","CAN","CAN","75","215","1997","EDM","5","15","121"
"371","Jason Demers","ARI, DAL, FLA","D","32","1988-06-09","Dorval","QC","CAN","CAN","73","195","2008","S.J","7","5","186"
"904","Jason Dickinson","DAL","C","25","1995-07-04","Georgetown","ON","CAN","CAN","74","200","2013","DAL","1","29","29"
"377","Jason Garrison","T.B, VGK","D","36","1984-11-13","White Rock","BC","CAN","CAN","73","218","-","-","-","-","-"
"74","Jason Pominville","BUF, MIN","R","38","1982-11-30","Repentigny","QC","CAN","USA","72","180","2001","BUF","2","25","55"
"63","Jason Spezza","DAL","C","37","1983-06-13","Toronto","ON","CAN","CAN","75","216","2001","OTT","1","2","2"
"547","Jason Zucker","MIN","L","29","1992-01-16","Newport Beach","CA","USA","USA","71","192","2010","MIN","2","29","59"
"374","Jay Beagle","WSH","C","35","1985-10-16","Calgary","AB","CAN","CAN","75","210","-","-","-","-","-"
"99","Jay Bouwmeester","STL","D","37","1983-09-27","Edmonton","AB","CAN","CAN","76","206","2002","FLA","1","3","3"
"75","Jay McClement","CAR","C","38","1983-03-02","Kingston","ON","CAN","CAN","73","205","2001","STL","2","27","57"
"850","Jaycob Megna","ANA","D","28","1992-12-10","Plantation","FL","USA","USA","78","221","2012","ANA","7","29","210"
"859","Jayson Megna","NYR, VAN","C","31","1990-02-01","Fort Lauderdale","FL","USA","USA","73","195","-","-","-","-","-"
"856","JC Lipon","WPG","R","27","1993-07-10","Regina","SK","CAN","CAN","72","183","2013","WPG","3","30","91"
"694","Jean-Gabriel Pageau","OTT","C","28","1992-11-11","Ottawa","ON","CAN","CAN","70","180","2011","OTT","4","5","96"
"951","Jean-Sebastien Dea","PIT","C","27","1994-02-08","Laval","QC","CAN","CAN","71","168","-","-","-","-","-"
"125","Jeff Carter","L.A","C","36","1985-01-01","London","ON","CAN","CAN","75","219","2003","PHI","1","11","11"
"282","Jeff Petry","MTL","D","33","1987-12-09","Ann Arbor","MI","USA","USA","75","208","2006","EDM","2","15","45"
"177","Jeff Schultz","L.A","D","35","1986-02-25","Calgary","AB","CAN","CAN","78","225","2004","WSH","1","27","27"
"585","Jeff Skinner","CAR","C, L","28","1992-05-16","Toronto","ON","CAN","CAN","71","197","2010","CAR","1","7","7"
"768","Jeremy Welsh","STL","C","32","1988-04-30","Bayfield","ON","CAN","CAN","75","210","-","-","-","-","-"
"1149","Jesper Bratt","N.J","L","22","1998-07-30","Stockholm","","SWE","SWE","70","175","2016","N.J","6","11","162"
"613","Jesper Fast","NYR","R","29","1991-12-02","Nassjo","","SWE","SWE","72","191","2010","NYR","6","7","157"
"1141","Jesse Puljujarvi","EDM","R","22","1998-05-07","Alvkarleby","","SWE","FIN","76","201","2016","EDM","1","4","4"
"327","Jim O'Brien","N.J, OTT","C","32","1989-01-29","Maplewood","MN","USA","USA","75","195","2007","OTT","1","29","29"
"409","Jimmy Hayes","BOS, N.J","R","31","1989-11-21","Dorchester","MA","USA","USA","77","215","2008","TOR","2","30","60"
"814","Jimmy Vesey","NYR","L","27","1993-05-26","Boston","MA","USA","USA","75","202","2012","NSH","3","5","66"
"106","Jiri Hudler","CGY, DAL, FLA","R","37","1984-01-04","Olomouc","","CZE","CZE","70","190","2002","DET","2","28","58"
"1041","Jiri Sekac","ANA, ARI, CHI","L","28","1992-06-10","Kladno","","CZE","CZE","73","185","-","-","-","-","-"
"278","Jiri Tlusty","N.J","L","33","1988-03-16","Slany","","CZE","CZE","72","205","2006","TOR","1","13","13"
"366","Joakim Andersson","DET","C","32","1989-02-05","Munkedal","","SWE","SWE","74","211","2007","DET","3","27","88"
"599","Joakim Nordstrom","CAR","C, L","29","1992-02-25","Stockholm","","SWE","SWE","73","194","2010","CHI","3","30","90"
"853","Joakim Ryan","S.J","D","27","1993-06-17","Rumson","NJ","USA","USA","71","185","2012","S.J","7","17","198"
"389","Joe Colborne","CGY, COL","C","31","1990-01-30","Calgary","AB","CAN","CAN","77","221","2008","BOS","1","16","16"
"1043","Joe Hicketts","DET","D","24","1996-05-04","Kamloops","BC","CAN","CAN","68","180","-","-","-","-","-"
"741","Joe Morrow","BOS, MTL, WPG","D","28","1992-12-09","Edmonton","AB","CAN","CAN","72","196","2011","PIT","1","23","23"
"156","Joe Pavelski","S.J","C","36","1984-07-11","Plover","WI","USA","USA","71","195","2003","S.J","7","8","205"
"12","Joe Thornton","S.J","C","41","1979-07-02","London","ON","CAN","CAN","76","220","1997","BOS","1","1","1"
"251","Joe Vitale","ARI","C","35","1985-08-20","St. Louis","MO","USA","USA","71","205","2005","PIT","7","1","195"
"735","Joel Armia","WPG","R","27","1993-05-31","Pori","","FIN","FIN","75","212","2011","BUF","1","16","16"
"710","Joel Edmundson","STL","D","27","1993-06-28","Brandon","MB","CAN","CAN","76","227","2011","STL","2","16","46"
"1092","Joel Eriksson Ek","MIN","C","24","1997-01-29","Karlstad","","SWE","SWE","73","208","2015","MIN","1","20","20"
"963","Joel Hanley","ARI, MTL","D","29","1991-06-08","Keswick","ON","CAN","CAN","71","190","-","-","-","-","-"
"871","Joel Vermin","T.B","R","29","1992-02-05","Bern","","CHE","CHE","71","192","2013","T.B","7","5","186"
"43","Joel Ward","S.J","R","40","1980-12-02","North York","ON","CAN","CAN","73","225","-","-","-","-","-"
"107","Joffrey Lupul","TOR","L","37","1983-09-23","Fort Saskatchewan","AB","CAN","CAN","73","206","2002","ANA","1","7","7"
"192","Johan Franzen","DET","R","41","1979-12-23","Vetlanda","","SWE","SWE","76","232","2004","DET","3","32","97"
"550","Johan Larsson","BUF","C, L","28","1992-07-25","Lau","","SWE","SWE","71","204","2010","MIN","2","26","56"
"397","John Carlson","WSH","D","31","1990-01-10","Natick","MA","USA","USA","75","215","2008","WSH","1","27","27"
"872","John Gilmour","NYR","D","27","1993-05-17","Montreal","QC","CAN","CAN","72","188","2013","CGY","7","17","198"
"883","John Hayden","CHI","L, R","26","1995-02-14","Chicago","IL","USA","USA","75","223","2013","CHI","3","13","74"
"619","John Klingberg","DAL","D","28","1992-08-14","Gothenburg","","SWE","SWE","74","190","2010","DAL","5","11","131"
"293","John McCarthy","S.J","C","34","1986-08-09","Boston","MA","USA","USA","73","195","2006","S.J","7","19","202"
"566","John McFarland","FLA","L","28","1992-04-02","Richmond Hill","ON","CAN","CAN","72","211","2010","FLA","2","3","33"
"151","John Mitchell","COL","C","36","1985-01-22","Oakville","ON","CAN","CAN","73","204","2003","TOR","5","22","158"
"478","John Moore","N.J","D","30","1990-11-19","Winnetka","IL","USA","USA","74","210","2009","CBJ","1","21","21"
"1010","John Quenneville","N.J","C","24","1996-04-16","Edmonton","AB","CAN","CAN","73","195","2014","N.J","1","30","30"
"605","John Ramage","CBJ","D","30","1991-02-07","Mississauga","ON","CAN","CAN","72","188","2010","CGY","4","13","103"
"309","John Scott","ARI, MTL","L","38","1982-09-26","Edmonton","AB","CAN","CAN","80","260","-","-","-","-","-"
"460","John Tavares","NYI","C","30","1990-09-20","Mississauga","ON","CAN","CAN","73","215","2009","NYI","1","1","1"
"60","John-Michael Liles","BOS, CAR","D","40","1980-11-25","Indianapolis","IN","USA","USA","70","185","2000","COL","5","29","159"
"105","Johnny Boychuk","NYI","D","37","1984-01-19","Edmonton","AB","CAN","CAN","74","227","2002","COL","2","31","61"
"661","Johnny Gaudreau","CGY","L","27","1993-08-13","Salem","NJ","USA","USA","69","165","2011","CGY","4","13","104"
"85","Johnny Oduya","CHI, DAL, OTT, PHI","D","39","1981-10-01","Stockholm","","SWE","SWE","72","191","2001","WSH","7","25","221"
"561","Jon Merrill","N.J, VGK","D","29","1992-02-03","Oklahoma City","OK","USA","USA","75","195","2010","N.J","2","8","38"
"729","Jonas Brodin","MIN","D","27","1993-07-12","Karlstad","","SWE","SWE","73","194","2011","MIN","1","10","10"
"932","Jonathan Drouin","MTL, T.B","C, L","25","1995-03-28","Ste-Agathe","QC","CAN","CAN","72","201","2013","T.B","1","3","3"
"114","Jonathan Ericsson","DET","D","37","1984-03-02","Karlskrona","","SWE","SWE","76","218","2002","DET","9","31","291"
"722","Jonathan Huberdeau","FLA","C, L","27","1993-06-04","Saint-Jerome","QC","CAN","CAN","73","202","2011","FLA","1","3","3"
"753","Jonathan Marchessault","FLA, T.B, VGK","C","30","1990-12-27","Cap-Rouge","QC","CAN","CAN","69","180","-","-","-","-","-"
"304","Jonathan Toews","CHI","C","32","1988-04-29","Winnipeg","MB","CAN","CAN","74","201","2006","CHI","1","3","3"
"879","Jonny Brodzinski","L.A","C","27","1993-06-19","Ham Lake","MN","USA","USA","73","215","2013","L.A","5","27","148"
"604","Joonas Donskoi","S.J","R","28","1992-04-13","Raahe","","FIN","FIN","72","190","2010","FLA","4","9","99"
"1106","Joonas Kemppainen","BOS","C","32","1988-04-07","Kajaani","","FIN","FIN","75","223","-","-","-","-","-"
"449","Jordan Caron","STL","R","30","1990-11-02","Sayabec","QC","CAN","CAN","75","204","2009","BOS","1","25","25"
"394","Jordan Eberle","EDM, NYI","C, R","30","1990-05-15","Regina","SK","CAN","CAN","71","187","2008","EDM","1","22","22"
"1062","Jordan Greenway","MIN","L","24","1997-02-16","Canton","NY","USA","USA","78","241","2015","MIN","2","20","50"
"816","Jordan Martinook","ARI","L","28","1992-07-25","Brandon","MB","CAN","CAN","72","196","2012","PHX","2","28","58"
"524","Jordan Nolan","BUF, L.A","C","31","1989-06-23","Garden River, First Nations","ON","CAN","CAN","75","219","2009","L.A","7","5","186"
"969","Jordan Oesterle","CHI, EDM","D","28","1992-06-25","Dearborn Heights","MI","USA","USA","72","182","-","-","-","-","-"
"789","Jordan Schmaltz","STL","D","27","1993-10-08","Madison","WI","USA","USA","74","196","2012","STL","1","25","25"
"447","Jordan Schroeder","CBJ, MIN","C, L","30","1990-09-29","Lakeville","MN","USA","USA","69","170","2009","VAN","1","22","22"
"284","Jordan Staal","CAR","C","32","1988-09-10","Thunder Bay","ON","CAN","CAN","76","220","2006","PIT","1","2","2"
"497","Jordan Szwarz","BOS","R","29","1991-05-14","Burlington","ON","CAN","CAN","71","192","2009","PHX","4","6","97"
"555","Jordan Weal","L.A, PHI","C","28","1992-04-15","North Vancouver","BC","CAN","CAN","70","181","2010","L.A","3","10","70"
"438","Jordie Benn","DAL, MTL","D","33","1987-07-26","Victoria","BC","CAN","CAN","74","199","-","-","-","-","-"
"78","Jordin Tootoo","CHI, N.J","R","38","1983-02-02","Churchill","MB","CAN","CAN","69","195","2001","NSH","4","2","98"
"410","Jori Lehtera","PHI, STL","C","33","1987-12-23","Helsinki","","FIN","FIN","74","212","2008","STL","3","4","65"
"845","Joseph Blandisi","ANA, N.J","C, L","26","1994-07-18","Markham","ON","CAN","CAN","72","184","2012","COL","6","11","162"
"674","Joseph Cramarossa","ANA, VAN","C","28","1992-10-26","Toronto","ON","CAN","CAN","72","188","2011","ANA","3","4","65"
"697","Joseph LaBate","VAN","C","27","1993-04-16","Burnsville","MN","USA","USA","77","210","2011","VAN","4","10","101"
"836","Josh Anderson","CBJ","R","26","1994-05-07","Burlington","ON","CAN","CAN","75","226","2012","CBJ","4","4","95"
"656","Josh Archibald","ARI, PIT","R","28","1992-10-06","Regina","SK","CAN","CAN","70","176","2011","PIT","6","23","174"
"387","Josh Bailey","NYI","C, R","31","1989-10-02","Bowmanville","ON","CAN","CAN","73","200","2008","NYI","1","9","9"
"115","Josh Gorges","BUF","D","36","1984-08-14","Kelowna","BC","CAN","CAN","73","204","-","-","-","-","-"
"959","Josh Jooris","ARI, CAR, CGY, NYR, PIT","R","30","1990-07-14","Burlington","ON","CAN","CAN","73","198","-","-","-","-","-"
"689","Josh Leivo","TOR","L","27","1993-05-26","Innisfil","ON","CAN","CAN","74","192","2011","TOR","3","25","86"
"653","Josh Manson","ANA","D","29","1991-10-07","Hinsdale","IL","USA","CAN","75","224","2011","ANA","6","9","160"
"942","Josh Morrissey","WPG","D","25","1995-03-28","Calgary","AB","CAN","CAN","72","195","2013","WPG","1","13","13"
"1008","Joshua Ho-Sang","NYI","C, R","25","1996-01-22","Toronto","ON","CAN","CAN","72","173","2014","NYI","1","28","28"
"812","Jujhar Khaira","EDM","L","26","1994-08-13","Surrey","BC","CAN","CAN","76","212","2012","EDM","3","2","63"
"602","Julian Melchiori","WPG","D","29","1991-12-06","Richmond Hill","ON","CAN","CAN","77","222","2010","ATL","3","27","87"
"995","Julius Honka","DAL","D","25","1995-12-03","Jyväskylä","","FIN","FIN","71","180","2014","DAL","1","14","14"
"83","Jussi Jokinen","CBJ, EDM, FLA, L.A, VAN","L","37","1983-04-01","Kalajoki","","FIN","FIN","72","191","2001","DAL","6","27","192"
"231","Justin Abdelkader","DET","L","34","1987-02-25","Muskegon","MI","USA","USA","74","213","2005","DET","2","12","42"
"895","Justin Auger","L.A","R","26","1994-05-14","Kitchener","ON","CAN","CAN","78","232","2013","L.A","4","12","103"
"921","Justin Bailey","BUF","R","25","1995-07-01","Buffalo","NY","USA","USA","76","214","2013","BUF","2","22","52"
"329","Justin Braun","S.J","D","34","1987-02-10","Minneapolis","MN","USA","USA","74","205","2007","S.J","7","20","201"
"527","Justin Dowling","DAL","C","30","1990-10-01","Calgary","AB","CAN","CAN","70","180","-","-","-","-","-"
"318","Justin Falk","BUF, CBJ","D","32","1988-10-11","Snowflake","MB","CAN","CAN","77","223","2007","MIN","4","19","110"
"563","Justin Faulk","CAR","D","29","1992-03-20","South St.Paul","MN","USA","USA","72","217","2010","CAR","2","7","37"
"641","Justin Fontaine","MIN","R","33","1987-11-06","Bonnyville","AB","CAN","CAN","70","174","-","-","-","-","-"
"546","Justin Holl","TOR","D","29","1992-01-30","Tonka Bay","MN","USA","USA","75","210","2010","CHI","2","24","54"
"1180","Justin Kloos","MIN","C","27","1993-11-30","Lakeville","MN","USA","USA","69","175","-","-","-","-","-"
"400","Justin Schultz","EDM, PIT","D","30","1990-07-06","Kelowna","BC","CAN","CAN","74","186","2008","ANA","2","13","43"
"51","Justin Williams","CAR, WSH","R","39","1981-10-04","Cobourg","ON","CAN","CAN","73","184","2000","PHI","1","28","28"
"642","Jyrki Jokipakka","CGY, DAL, OTT","D","29","1991-08-20","Tampere","","FIN","FIN","75","215","2011","DAL","7","14","195"
"630","Kael Mouillierat","PIT","L","33","1987-12-09","Edmonton","AB","CAN","CAN","72","188","-","-","-","-","-"
"1170","Kailer Yamamoto","EDM","R","22","1998-09-29","Spokane","WA","USA","USA","68","153","2017","EDM","1","22","22"
"1130","Kalle Kossila","ANA","C, L","27","1993-04-14","Kauniainen","","FIN","FIN","70","182","-","-","-","-","-"
"317","Karl Alzner","MTL, WSH","D","32","1988-09-24","Burnaby","BC","CAN","CAN","75","213","2007","WSH","1","5","5"
"763","Karl Stollery","N.J","D","33","1987-11-21","Camrose","AB","CAN","CAN","71","180","-","-","-","-","-"
"1003","Kasperi Kapanen","TOR","R","24","1996-07-23","Kuopio","","FIN","FIN","73","194","2014","PIT","1","22","22"
"680","Keegan Lowe","EDM","D","27","1993-03-29","Greenwich","CT","USA","USA","73","191","2011","CAR","3","12","73"
"236","Keith Yandle","FLA, NYR","D","34","1986-09-09","Boston","MA","USA","USA","73","192","2005","PHX","4","14","105"
"611","Kenny Agostino","BOS, CGY, STL","L","28","1992-04-30","Morristown","NJ","USA","USA","72","204","2010","PIT","5","20","140"
"948","Kerby Rychel","CBJ, MTL","L","26","1994-10-07","Torrance","CA","USA","CAN","73","213","2013","CBJ","1","19","19"
"635","Kevan Miller","BOS","D","33","1987-11-15","Los Angeles","CA","USA","USA","74","210","-","-","-","-","-"
"80","Kevin Bieksa","ANA","D","39","1981-06-16","Grimsby","ON","CAN","CAN","73","197","2001","VAN","5","20","151"
"504","Kevin Connauton","ARI, CBJ","D","31","1990-02-23","Edmonton","AB","CAN","CAN","74","205","2009","VAN","3","22","83"
"992","Kevin Fiala","NSH","L","24","1996-07-22","St. Gallen","","CHE","CHE","70","198","2014","NSH","1","11","11"
"614","Kevin Gravel","L.A","D","29","1992-03-06","Kingsford","MI","USA","USA","76","205","2010","L.A","5","28","148"
"573","Kevin Hayes","NYR","C, R","28","1992-05-08","Dorchester","MA","USA","USA","77","216","2010","CHI","1","24","24"
"140","Kevin Klein","NYR","D","36","1984-12-13","Kitchener","ON","CAN","CAN","73","206","2003","NSH","2","7","37"
"1037","Kevin Labanc","S.J","R","25","1995-12-12","Brooklyn","NY","USA","USA","71","185","2014","S.J","6","21","171"
"194","Kevin Porter","PIT","C","35","1986-03-12","Detroit","MI","USA","USA","72","190","2004","PHX","4","21","119"
"1131","Kevin Rooney","N.J","C","27","1993-05-21","Canton","MA","USA","USA","74","190","-","-","-","-","-"
"833","Kevin Roy","ANA","L","27","1993-05-20","Greenfield Park","QC","CAN","CAN","69","170","2012","ANA","4","6","97"
"330","Kevin Shattenkirk","NYR, STL, WSH","D","32","1989-01-29","New Rochelle","NY","USA","USA","72","203","2007","COL","1","14","14"
"684","Klas Dahlbeck","ARI, CAR","D","29","1991-07-06","Katrineholm","","SWE","SWE","75","207","2011","CHI","3","18","79"
"292","Korbinian Holzer","ANA","D","33","1988-02-16","Munich","","DEU","DEU","75","213","2006","TOR","4","18","111"
"233","Kris Letang","PIT","D","33","1987-04-24","Montreal","QC","CAN","CAN","72","201","2005","PIT","3","1","62"
"234","Kris Russell","CGY, DAL, EDM","D","33","1987-05-02","Caroline","AB","CAN","CAN","70","170","2005","CBJ","3","6","67"
"197","Kris Versteeg","CAR, CGY, L.A","R","34","1986-05-13","Lethbridge","AB","CAN","CAN","71","176","2004","BOS","5","5","134"
"754","Kurtis Gabriel","MIN","R","27","1993-04-20","Newmarket","ON","CAN","CAN","76","200","2013","MIN","3","20","81"
"855","Kurtis MacDermid","L.A","D","27","1994-03-25","Sauble Beach","ON","CAN","CAN","77","233","-","-","-","-","-"
"1052","Kyle Baun","CHI","R","28","1992-05-04","Toronto","ON","CAN","CAN","74","188","-","-","-","-","-"
"157","Kyle Brodziak","STL","C","36","1984-05-25","St. Paul","AB","CAN","CAN","74","205","2003","EDM","7","17","214"
"1087","Kyle Capobianco","ARI","D","23","1997-08-13","Mississauga","ON","CAN","CAN","73","196","2015","ARI","3","2","63"
"174","Kyle Chipchura","ARI","C","35","1986-02-19","Westlock","AB","CAN","CAN","74","203","2004","MTL","1","18","18"
"455","Kyle Clifford","L.A","L","30","1991-01-13","Ayr","ON","CAN","CAN","74","211","2009","L.A","2","5","35"
"1055","Kyle Connor","WPG","L","24","1996-12-09","Shelby Twp.","MI","USA","USA","73","182","2015","WPG","1","17","17"
"1133","Kyle Criscuolo","BUF","C","28","1992-05-05","Southampton","NJ","USA","USA","68","180","-","-","-","-","-"
"271","Kyle Okposo","BUF, NYI","R","32","1988-04-16","St. Paul","MN","USA","USA","72","220","2006","NYI","1","7","7"
"450","Kyle Palmieri","N.J","C, R","30","1991-02-01","Smithtown","NY","USA","USA","71","185","2009","ANA","1","26","26"
"148","Kyle Quincey","CBJ, DET, MIN, N.J","D","35","1985-08-12","Kitchener","ON","CAN","CAN","74","210","2003","DET","4","31","132"
"691","Kyle Rau","FLA, MIN","C","28","1992-10-24","Eden Prairie","MN","USA","USA","68","176","2011","FLA","3","30","91"
"341","Kyle Turris","NSH, OTT","C","31","1989-08-14","New Westminster","BC","CAN","CAN","73","190","2007","PHX","1","3","3"
"171","Ladislav Smid","CGY","D","35","1986-02-01","Frydlant","","CZE","CZE","76","210","2004","ANA","1","9","9"
"414","Lance Bouma","CGY, CHI","C, L","31","1990-03-25","Provost","AB","CAN","CAN","74","208","2008","CGY","3","17","78"
"453","Landon Ferraro","BOS, DET, MIN","C","29","1991-08-08","Trail","BC","CAN","CAN","72","173","2009","DET","2","2","32"
"368","Lars Eller","MTL, WSH","C","31","1989-05-08","Rodovre","","DNK","DNK","74","208","2007","STL","1","13","13"
"912","Laurent Dauphin","ARI","C","25","1995-03-27","Repentigny","QC","CAN","CAN","73","189","2013","PHX","2","9","39"
"175","Lauri Korpikoski","CBJ, DAL, EDM","L","34","1986-07-28","Turku","","FIN","FIN","73","193","2004","NYR","1","19","19"
"1086","Lawson Crouse","ARI","L","23","1997-06-23","Mt. Brydges","ON","CAN","CAN","76","220","2015","FLA","1","11","11"
"150","Lee Stempniak","BOS, CAR, N.J","R","38","1983-02-04","West Seneca","NY","USA","USA","71","195","2003","STL","5","12","148"
"273","Leo Komarov","TOR","C","34","1987-01-23","Narva","","EST","FIN","71","208","2006","TOR","6","27","180"
"984","Leon Draisaitl","EDM","C","25","1995-10-27","Cologne","","DEU","DEU","74","208","2014","EDM","1","3","3"
"854","Liam O'Brien","WSH","C","26","1994-07-29","Halifax","NS","CAN","CAN","73","213","-","-","-","-","-"
"1177","Lias Andersson","NYR","C","22","1998-10-13","Smogen","","SWE","SWE","72","190","2017","NYR","1","7","7"
"496","Linden Vey","CGY, VAN","R","29","1991-07-17","Wakaw","SK","CAN","CAN","72","189","2009","L.A","4","5","96"
"1143","Logan Brown","OTT","C","23","1998-03-05","Raleigh","NC","USA","USA","78","220","2016","OTT","1","11","11"
"336","Logan Couture","S.J","C","31","1989-03-28","Guelph","ON","CAN","CAN","73","200","2007","S.J","1","9","9"
"682","Logan Shaw","ANA, FLA, MTL","C, R","28","1992-10-05","Glace Bay","NS","CAN","CAN","75","208","2011","FLA","3","15","76"
"139","Loui Eriksson","BOS, VAN","L","35","1985-07-17","Gothenburg","","SWE","SWE","74","179","2003","DAL","2","3","33"
